,state,stateMinWage,niMinPWage,niMaxPWage,ciMinPWage,ciMaxPWage,meanWage,medianWage,meanPhone,meanPhone15,meanToothpaste,meanRice,meanPen,laborPerDollar,phonePerDollar,laborPerPhone15,laborPerToothpaste,laborPerRice,laborPerPen,penny_j
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,1
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,2
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,3
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,4
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,5
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,6
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,7
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,8
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,9
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,10
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,11
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,12
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,13
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,14
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,15
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,16
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,17
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,18
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,19
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,20
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,21
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,22
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,23
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,24
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,25
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,26
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,27
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,28
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,29
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,30
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,31
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,32
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,33
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,34
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,35
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,36
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,37
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,38
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,39
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,40
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,41
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,42
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,43
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,44
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,45
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,46
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,47
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,48
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,49
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,50
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,51
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,52
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,53
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,54
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,55
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,56
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,57
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,58
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,59
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,60
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,61
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,62
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,63
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,64
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,65
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,66
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,67
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,68
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,69
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,70
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,71
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,72
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,73
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,74
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,75
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,76
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,77
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,78
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,79
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,80
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,81
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,82
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,83
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,84
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,85
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,86
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,87
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,88
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,89
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,90
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,91
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,92
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,93
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,94
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,95
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,96
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,97
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,98
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,99
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,100
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,101
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,102
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,103
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,104
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,105
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,106
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,107
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,108
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,109
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,110
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,111
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,112
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,113
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,114
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,115
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,116
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,117
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,118
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,119
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,120
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,121
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,122
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,123
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,124
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,125
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,126
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,127
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,128
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,129
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,130
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,131
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,132
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,133
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,134
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,135
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,136
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,137
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,138
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,139
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,140
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,141
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,142
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,143
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,144
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,145
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,146
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,147
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,148
9,GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,,149
