state,stateMinWage,niMinPWage,niMaxPWage,ciMinPWage,ciMaxPWage,meanWage,medianWage,meanPhone,meanPhone15,meanToothpaste,meanRice,meanPen,laborPerDollar,phonePerDollar,laborPerPhone15,laborPerToothpaste,laborPerRice,laborPerPen
AL,7.25,0.0,0.0,0.25,0.75,0.25,0.12,0.22,3.35,3.95,1.4,1.15,8.33,4.55,27.91,32.9,11.66,9.58
AK,10.34,0.3,1.25,0.65,4.9,1.78,0.95,0.23,3.45,3.22,1.5,2.71,1.05,4.35,3.62,3.38,1.58,2.85
AZ,12.8,0.15,0.5,0.2,0.8,0.41,0.35,0.2,3.0,3.58,1.25,1.05,2.86,5.0,8.58,10.24,3.58,3.0
AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,
CA,14.0,0.08,0.37,0.3,0.95,0.42,0.34,0.08,1.23,4.2,1.16,0.95,2.94,12.5,3.62,12.35,3.41,2.79
CO,12.56,0.13,0.38,,,0.26,0.26,0.12,1.8,2.07,1.19,0.3,3.85,8.33,6.93,7.97,4.58,1.16
CT,14.0,0.13,1.0,0.3,1.5,0.73,0.65,0.27,4.06,2.57,0.93,0.5,1.54,3.7,6.25,3.96,1.43,0.77
DE,10.5,,,0.25,2.0,1.12,1.12,1.17,2.29,5.21,2.71,1.57,0.89,0.85,2.04,4.64,2.41,1.4
FL,10.0,0.0,0.32,0.2,0.55,0.27,0.26,0.14,2.1,3.13,1.33,2.0,3.85,7.14,8.09,12.05,5.12,7.7
GA,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.4,4.28,1.25,1.1,,6.25,,,,
HI,10.1,0.25,0.25,0.5,2.5,0.88,0.38,0.01,0.15,4.6,1.3,1.1,2.63,100.0,0.39,12.1,3.42,2.89
ID,7.25,0.1,0.9,,,0.5,0.5,0.11,1.65,2.42,1.15,0.55,2.0,9.09,3.3,4.84,2.3,1.1
IL,12.0,0.09,0.89,0.3,2.25,0.88,0.6,0.07,1.05,4.02,1.1,1.0,1.67,14.29,1.75,6.71,1.84,1.67
IN,7.25,0.12,0.25,,,0.18,0.18,0.48,3.84,3.54,1.1,0.52,5.56,2.08,21.35,19.68,6.12,2.89
IA,7.25,0.27,0.68,0.58,0.87,0.6,0.63,0.08,1.12,3.42,1.13,0.46,1.59,12.5,1.78,5.44,1.8,0.73
KS,7.25,0.09,0.16,0.25,3.0,0.88,0.2,0.18,2.65,4.12,1.38,1.2,5.0,5.56,13.25,20.6,6.9,6.0
KY,7.25,0.13,0.33,,,0.23,0.23,2.06,5.98,3.4,1.02,0.25,4.35,0.49,26.01,14.79,4.44,1.09
LA,7.25,0.04,1.0,,0.4,0.48,0.4,0.21,3.15,3.0,1.43,1.1,2.5,4.76,7.88,7.5,3.58,2.75
ME,12.75,,,0.58,3.5,2.04,2.04,1.05,4.9,4.62,,0.5,0.49,0.95,2.4,2.26,,0.24
MD,12.5,0.15,0.46,0.2,0.82,0.41,0.33,0.03,0.48,3.76,1.25,0.2,3.03,33.33,1.45,11.39,3.79,0.61
MA,14.25,0.14,1.0,,,0.57,0.57,0.1,1.5,2.3,1.9,1.15,1.75,10.0,2.62,4.02,3.32,2.01
MI,9.87,0.14,0.56,,,0.35,0.35,0.16,2.4,3.14,1.25,0.3,2.86,6.25,6.86,8.98,3.58,0.86
MN,10.33,0.25,2.0,0.5,2.0,1.19,1.25,0.04,0.6,3.08,1.33,0.25,0.8,25.0,0.48,2.46,1.06,0.2
MS,7.25,0.0,,0.2,1.3,0.5,0.2,0.04,0.58,2.76,1.89,0.69,5.0,25.0,2.9,13.8,9.45,3.45
MO,11.15,0.05,,0.3,1.25,0.53,0.3,0.05,0.75,3.35,1.07,1.1,3.33,20.0,2.5,11.16,3.56,3.66
MT,9.2,0.16,1.25,,,0.7,0.7,0.14,2.14,2.54,,,1.43,7.14,3.06,3.63,,
NE,9.0,0.16,1.08,0.38,1.08,0.68,0.73,0.06,0.94,2.88,1.7,,1.37,16.67,1.29,3.95,2.33,
NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51
NH,7.25,0.25,1.5,0.5,1.5,0.94,1.0,0.01,0.19,3.78,1.25,0.4,1.0,100.0,0.19,3.78,1.25,0.4
NJ,13.0,0.26,2.0,0.38,2.0,1.16,1.19,0.04,0.66,3.64,1.1,0.9,0.84,25.0,0.55,3.06,0.92,0.76
NM,11.5,0.1,1.0,0.3,1.1,0.62,0.65,0.08,1.2,4.22,5.29,0.73,1.54,12.5,1.85,6.5,8.15,1.12
NY,13.2,0.1,0.33,0.62,0.62,0.42,0.48,0.04,0.64,5.2,1.3,1.1,2.08,25.0,1.33,10.82,2.7,2.29
NC,7.25,0.05,0.38,0.05,0.38,0.22,0.22,0.1,1.5,3.37,1.17,2.0,4.55,10.0,6.82,15.33,5.32,9.1
ND,7.25,0.19,0.88,0.45,1.69,0.8,0.66,0.08,1.18,2.42,0.75,0.44,1.52,12.5,1.79,3.68,1.14,0.67
OH,9.3,0.1,0.17,0.21,1.23,0.43,0.19,0.05,0.7,4.53,1.32,1.15,5.26,20.0,3.68,23.83,6.94,6.05
OK,7.25,0.05,0.54,0.0,0.43,0.26,0.24,0.2,3.0,4.45,1.35,3.9,4.17,5.0,12.51,18.56,5.63,16.26
OR,13.5,0.05,0.47,0.05,0.47,0.26,0.26,0.16,2.4,3.87,0.98,0.9,3.85,6.25,9.24,14.9,3.77,3.47
PA,7.25,0.19,1.0,0.19,0.42,0.45,0.3,0.59,8.85,2.13,0.74,0.22,3.33,1.69,29.47,7.09,2.46,0.73
RI,12.25,0.29,0.86,,,0.57,0.57,0.03,0.44,5.21,2.71,1.57,1.75,33.33,0.77,9.12,4.74,2.75
SC,7.25,0.0,0.0,0.35,1.8,0.54,0.18,0.06,0.82,2.61,1.1,0.15,5.56,16.67,4.56,14.51,6.12,0.83
SD,9.95,0.25,0.38,0.25,0.25,0.28,0.25,0.08,1.2,2.38,1.33,0.25,4.0,12.5,4.8,9.52,5.32,1.0
TN,7.25,0.17,0.75,,,0.46,0.46,0.16,2.4,4.05,1.43,1.1,2.17,6.25,5.21,8.79,3.1,2.39
TX,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.9,1.7,1.38,0.3,,16.67,,,,
UT,7.25,0.4,,0.6,1.75,0.92,0.6,0.19,2.85,1.5,1.5,,1.67,5.26,4.76,2.5,2.5,
VT,12.55,0.25,0.4,0.25,1.25,0.54,0.32,0.07,1.04,4.04,1.23,0.42,3.12,14.29,3.24,12.6,3.84,1.31
VA,11.0,0.27,0.45,0.55,0.8,0.52,0.5,0.04,0.61,3.49,1.23,1.1,2.0,25.0,1.22,6.98,2.46,2.2
WA,14.49,,0.36,0.7,2.7,1.25,0.7,0.11,1.65,2.61,1.23,0.2,1.43,9.09,2.36,3.73,1.76,0.29
WV,8.75,0.04,0.58,,,0.31,0.31,0.03,0.48,3.82,0.9,1.05,3.23,33.33,1.55,12.34,2.91,3.39
WI,7.25,0.09,0.42,0.79,1.41,0.68,0.6,0.12,1.8,3.8,1.37,0.9,1.67,8.33,3.01,6.35,2.29,1.5
WY,7.25,0.35,1.0,0.5,1.2,0.76,0.75,0.09,1.35,4.69,2.77,2.6,1.33,11.11,1.8,6.24,3.68,3.46
FP,7.25,0.12,0.4,0.23,1.15,0.48,0.32,,,,,,3.12,,,,,
DC,16.1,0.12,0.4,0.23,1.15,0.48,0.32,0.23,3.45,4.53,1.54,0.37,3.12,4.35,10.76,14.13,4.8,1.15
