state,tp0,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,tp21,tp22,tp23,tp24,tp25,tp26,tp27,tp28,tp29,tp30,tp31,tp32,tp33,tp34,tp35,tp36,tp37,tp38
AL,4.7,3.45,3.25,3.4,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,1.5,1.34,3.16,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,1.5,3.85,2.75,6.75,2.5,3.1,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,2.75,2.4,1.7,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,2,5.85,4.4,6.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,1.02,1.24,0.97,2.69,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,4.16,1.63,2.99,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,1.9,3.9,5.3,5.3,3.7,4.9,2,3.5,3.9,8.9,3.9,6.9,5.3,8.5,3.5,0.9,5.9,6.3,2.8,6.9,5.5,3.9,10.3,10.3,5.5,5.9,1.7,11.2,2.5,,,,,,,,,,
FL,2.85,4.3,3.85,2.79,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2.85,3.1,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,1.9,4.3,4.5,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2.63,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,2.65,2.75,6.75,6.5,2.65,2.75,6.75,2.65,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,2,2.65,2.85,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,2.96,3.14,3.5,4.45,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,3.1,2.6,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,2.85,3.65,4.55,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,4.3,1.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,3,5,1.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,1.5,3,4.1,3.4,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,2.6,1.5,2.6,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,1.8,2.4,2.8,4.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,1.98,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,4.3,2.95,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,1.97,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,3.46,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,7.85,8.05,3,7.5,7.5,8.05,1.6,10.05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,1.65,6.25,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,3.25,1.5,3.85,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,5.12,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,2.8,3.5,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,1.1,3.05,3.05,2.9,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,2.53,1.66,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,2.4,3.05,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,2.8,3,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
